date,freight_rate,open,high,low,vol,change,freight_rate_outlier
2016-05-27,606.0,606.00,606.00,606.00,,0.83%,False
2016-05-31,612.0,612.00,612.00,612.00,,0.99%,False
2016-06-01,612.0,612.00,612.00,612.00,,0.00%,False
2016-06-02,606.0,606.00,606.00,606.00,,-0.98%,False
2016-06-03,610.0,610.00,610.00,610.00,,0.66%,False
2016-06-06,607.0,607.00,607.00,607.00,,-0.49%,False
2016-06-07,606.0,606.00,606.00,606.00,,-0.16%,False
2016-06-08,610.0,610.00,610.00,610.00,,0.66%,False
2016-06-09,611.0,611.00,611.00,611.00,,0.16%,False
2016-06-10,610.0,610.00,610.00,610.00,,-0.16%,False
2016-06-13,609.0,609.00,609.00,609.00,,-0.16%,False
2016-06-14,608.0,608.00,608.00,608.00,,-0.16%,False
2016-06-15,604.0,604.00,604.00,604.00,,-0.66%,False
2016-06-16,598.0,598.00,598.00,598.00,,-0.99%,False
2016-06-17,587.0,587.00,587.00,587.00,,-1.84%,False
2016-06-20,582.0,582.00,582.00,582.00,,-0.85%,False
2016-06-21,580.0,580.00,580.00,580.00,,-0.34%,False
2016-06-22,585.0,585.00,585.00,585.00,,0.86%,False
2016-06-23,596.0,596.00,596.00,596.00,,1.88%,False
2016-06-24,609.0,609.00,609.00,609.00,,2.18%,False
2016-06-27,616.0,616.00,616.00,616.00,,1.15%,False
2016-06-28,627.0,627.00,627.00,627.00,,1.79%,False
2016-06-29,640.0,640.00,640.00,640.00,,2.07%,False
2016-06-30,660.0,660.00,660.00,660.00,,3.13%,False
2016-07-01,677.0,677.00,677.00,677.00,,2.58%,True
2016-07-04,688.0,688.00,688.00,688.00,,1.62%,True
2016-07-05,692.0,692.00,692.00,692.00,,0.58%,False
2016-07-06,694.0,694.00,694.00,694.00,,0.29%,False
2016-07-07,699.0,699.00,699.00,699.00,,0.72%,False
2016-07-08,703.0,703.00,703.00,703.00,,0.57%,False
2016-07-11,704.0,704.00,704.00,704.00,,0.14%,False
2016-07-12,711.0,711.00,711.00,711.00,,0.99%,False
2016-07-13,726.0,726.00,726.00,726.00,,2.11%,False
2016-07-14,738.0,738.00,738.00,738.00,,1.65%,False
2016-07-15,745.0,745.00,745.00,745.00,,0.95%,False
2016-07-18,748.0,748.00,748.00,748.00,,0.40%,False
2016-07-19,746.0,746.00,746.00,746.00,,-0.27%,False
2016-07-20,736.0,736.00,736.00,736.00,,-1.34%,False
2016-07-21,726.0,726.00,726.00,726.00,,-1.36%,False
2016-07-22,718.0,718.00,718.00,718.00,,-1.10%,False
2016-07-25,709.0,709.00,709.00,709.00,,-1.25%,False
2016-07-26,696.0,696.00,696.00,696.00,,-1.83%,False
